method,classifier,rep,auroc_full,auroc_red,aurc_full,aurc_red,tag,auroc_penalty,aurc_penalty,kept_features,k_aggr
mutual_info,logistic,0,0.9240056818181818,0.8742897727272727,0.05945600354493902,0.08648442160396057,arcene_keep100,0.04971590909090906,0.02702841805902155,100,25
mutual_info,logistic,1,0.929484577922078,0.8935673701298701,0.048984713358075166,0.06934340502869449,arcene_keep100,0.03591720779220786,0.020358691670619322,100,25
mutual_info,logistic,2,0.9430803571428572,0.9122362012987013,0.03868142906387678,0.05876410676333334,arcene_keep100,0.030844155844155896,0.020082677699456555,100,25
mutual_info,logistic,3,0.9407467532467533,0.8979301948051949,0.04197748971807559,0.06702158866455629,arcene_keep100,0.042816558441558406,0.0250440989464807,100,25
mutual_info,logistic,4,0.9185267857142857,0.8719561688311689,0.05694046433171068,0.0822634670488865,arcene_keep100,0.04657061688311681,0.025323002717175816,100,25
mutual_info,logistic,5,0.906148538961039,0.8525771103896105,0.06683216683694058,0.10597911936531432,arcene_keep100,0.05357142857142849,0.03914695252837373,100,25
mutual_info,logistic,6,0.9220779220779222,0.8549107142857142,0.057926212753758796,0.10696082213162922,arcene_keep100,0.06716720779220797,0.04903460937787042,100,25
mutual_info,logistic,7,0.9356737012987013,0.8788555194805195,0.04364750757073586,0.07919659830285133,arcene_keep100,0.05681818181818177,0.03554909073211547,100,25
mutual_info,logistic,8,0.9022930194805195,0.8559253246753247,0.0678495468502425,0.11019154966261122,arcene_keep100,0.04636769480519487,0.04234200281236872,100,25
mutual_info,logistic,9,0.9207589285714287,0.906047077922078,0.05672050202021513,0.06130314397241233,arcene_keep100,0.014711850649350766,0.0045826419521972014,100,25
mutual_info,logistic,10,0.9224837662337663,0.8757102272727273,0.05836480330310311,0.0931289987866746,arcene_keep100,0.046773538961038974,0.03476419548357149,100,25
mutual_info,logistic,11,0.932224025974026,0.8837256493506495,0.05305897789412367,0.07976838322580493,arcene_keep100,0.04849837662337653,0.026709405331681257,100,25
mutual_info,logistic,12,0.9240056818181819,0.8829139610389611,0.05572898291920665,0.08214927022768706,arcene_keep100,0.04109172077922074,0.02642028730848041,100,25
mutual_info,logistic,13,0.9394277597402597,0.8553165584415585,0.0437156932326271,0.09769114499038756,arcene_keep100,0.0841112012987012,0.05397545175776046,100,25
mutual_info,logistic,14,0.9335430194805194,0.8884943181818182,0.05064697823720077,0.07337520397421593,arcene_keep100,0.0450487012987012,0.022728225737015162,100,25
mutual_info,logistic,15,0.9355722402597403,0.8824066558441558,0.04461752768710169,0.07953905660007547,arcene_keep100,0.0531655844155845,0.03492152891297378,100,25
mutual_info,logistic,16,0.9187297077922079,0.8782467532467533,0.060007042717050624,0.08324150785246946,arcene_keep100,0.040482954545454586,0.02323446513541884,100,25
mutual_info,logistic,17,0.9109172077922078,0.8525771103896104,0.06408665465242921,0.10648520664221628,arcene_keep100,0.05834009740259738,0.042398551989787064,100,25
mutual_info,logistic,18,0.9221793831168831,0.8634334415584416,0.057412457991565885,0.09680944610040523,arcene_keep100,0.05874594155844148,0.03939698810883935,100,25
mutual_info,logistic,19,0.9171063311688312,0.8866680194805195,0.05752987061219869,0.08025236692313432,arcene_keep100,0.03043831168831168,0.022722496310935633,100,25
mutual_info,logistic,20,0.9338474025974026,0.9028003246753247,0.04683321162167836,0.06594417565238017,arcene_keep100,0.031047077922077948,0.01911096403070181,100,25
