example,dataset,budget,n,n_distinct_confidence,largest_tie_block,tied_fraction,aurc_as_committed,aurc_perm_mean,aurc_perm_sd,aurc_perm_p2_5,aurc_perm_p97_5,aurc_perm_ci_width
worked_example,mammographic,frac:1,961,843,4,0.22684703433922998,0.09597359195246988,0.0959770682578997,1.1143638078210589e-05,0.09595516506764766,0.09599830126263575,4.313619498809429e-05
worked_example,mammographic,frac:0.25,961,27,116,0.9979188345473465,0.16477936993887188,0.16417473520285233,0.0009381795198767724,0.16232307398916043,0.1660090578462566,0.0036859838570961756
worked_example,mammographic,k:1,961,27,116,0.9979188345473465,0.16477936993887188,0.16417473520285233,0.0009381795198767724,0.16232307398916043,0.1660090578462566,0.0036859838570961756
secondary_example,diabetes130,frac:1,101763,99810,4,0.038019712469168555,0.07388969437029907,0.07388969282773154,3.472812779292029e-09,0.07388968580963377,0.07388969964227442,1.3832640644029226e-08
secondary_example,diabetes130,frac:0.25,101763,2141,3796,0.9933571140787909,0.07704558280157561,0.07701955562724702,3.378650570788396e-05,0.07695426646942156,0.07708481621967873,0.00013054975025716953
secondary_example,diabetes130,k:1,101763,10,15812,1.0,0.10586070283524704,0.10539463076071041,0.000217868076561224,0.1049617461983649,0.10584653479733902,0.0008847885989741178
