example,dataset,budget,reliability,resolution,uncertainty,brier_binned,brier,binning_residual,n_occupied,largest_bin_share,n_distinct,sd_p,ece,p_min,p_max
worked_example,mammographic,frac:1,0.002189479414369485,0.12329402969678618,0.24863538565988208,0.12753083537746543,0.12745828647286955,-7.254890459587418e-05,15.0,0.15907041276448147,845.9666666666667,0.34279793943044107,0.037228254782907505,0.0013953364250482991,1.0
worked_example,mammographic,frac:0.75,0.002236954146912635,0.12365920997701373,0.24863538565988208,0.12721312982978106,0.12709134778180295,-0.00012178204797810381,15.0,0.15889698231009367,827.4666666666667,0.3427505992352112,0.037818128530852216,0.0014134835248114542,1.0
worked_example,mammographic,frac:0.5,0.0061397068167237685,0.11612008548752575,0.24863538565988208,0.13865500698908012,0.13911440062859803,0.00045939363951788456,14.5,0.26361429066944153,83.13333333333334,0.31935656509542854,0.0517064527237282,0.0006173941651165175,0.9991698046525319
worked_example,mammographic,frac:0.33,0.0061397068167237685,0.11612008548752575,0.24863538565988208,0.13865500698908012,0.13911440062859803,0.00045939363951788456,14.5,0.26361429066944153,83.13333333333334,0.31935656509542854,0.0517064527237282,0.0006173941651165175,0.9991698046525319
worked_example,mammographic,frac:0.25,0.008103592486644235,0.10212937871710098,0.24863538565988208,0.15460959942942543,0.1550355988803432,0.00042599945091777077,5.4,0.5407908428720083,28.6,0.2643637604692792,0.0836292791118612,2.5573131157822596e-05,0.9993761579195658
worked_example,mammographic,k:1,0.008103592486644235,0.10212937871710098,0.24863538565988208,0.15460959942942543,0.1550355988803432,0.00042599945091777077,5.4,0.5407908428720083,28.6,0.2643637604692792,0.0836292791118612,2.5573131157822596e-05,0.9993761579195658
worked_example,mammographic,k:2,0.0061397068167237685,0.11612008548752575,0.24863538565988208,0.13865500698908012,0.13911440062859803,0.00045939363951788456,14.5,0.26361429066944153,83.13333333333334,0.31935656509542854,0.0517064527237282,0.0006173941651165175,0.9991698046525319
worked_example,mammographic,k:4,0.002236954146912635,0.12365920997701373,0.24863538565988208,0.12721312982978106,0.12709134778180295,-0.00012178204797810381,15.0,0.15889698231009367,827.4666666666667,0.3427505992352112,0.037818128530852216,0.0014134835248114542,1.0
secondary_example,diabetes130,frac:1,0.00015622810724949375,0.0025988624341920503,0.09914734224295425,0.09670470791601168,0.09626332381596298,-0.00044138410004869547,15.0,0.7437876896973031,101258.83333333333,0.058081188672933624,0.004393032869475966,0.038658541689316435,0.959575213988622
secondary_example,diabetes130,frac:0.75,0.0001541430354566289,0.002570902219435373,0.09914734224295425,0.09673058305897551,0.09628356686785634,-0.0004470161911191516,15.0,0.7546023603863881,91338.9,0.057806946538075506,0.004089319411736354,0.04465872248013814,0.9632434010505676
secondary_example,diabetes130,frac:0.5,0.000141109856892007,0.002537285127713558,0.09914734224295425,0.09675116697213268,0.09630756337151958,-0.0004436036006131049,15.0,0.7685294917275106,27838.666666666668,0.05725836403400017,0.0035269225089982134,0.04827995511392753,0.967086527744929
secondary_example,diabetes130,frac:0.33,0.00013891262624105352,0.002507744977807981,0.09914734224295425,0.09677850989138732,0.09634758345175655,-0.00043092643963076884,15.0,0.7911926076602824,4730.7,0.05674990109845709,0.003143156161211886,0.04929158712426821,0.9703286548455556
secondary_example,diabetes130,frac:0.25,0.0001492473600013126,0.0024902896145345926,0.09914734224295425,0.09680629998842098,0.09642187849990003,-0.00038442148852091775,14.5,0.8242927193577233,1798.0,0.05595035498360778,0.0037355868636126197,0.061950331057111424,0.9737970431645712
secondary_example,diabetes130,k:1,1.9999587362319992e-05,0.0001660392799921205,0.09914734224295425,0.09900130255032445,0.09890314560241681,-9.81569479076049e-05,4.8,0.9894683398353691,15.766666666666667,0.014148993809355696,0.00042973604356234655,0.09353520224491756,0.3646736932297548
secondary_example,diabetes130,k:2,0.00013268763846390223,0.0018909451985437398,0.09914734224295425,0.0973890846828744,0.09700379746521501,-0.0003852872176593969,14.0,0.8868904546184109,139.8,0.04954104457752938,0.002376433282337355,0.07783201014002164,0.973413368066152
secondary_example,diabetes130,k:4,0.0001492473600013126,0.0024902896145345926,0.09914734224295425,0.09680629998842098,0.09642187849990003,-0.00038442148852091775,14.5,0.8242927193577233,1798.0,0.05595035498360778,0.0037355868636126197,0.061950331057111424,0.9737970431645712
secondary_example,diabetes130,k:8,0.000141109856892007,0.002537285127713558,0.09914734224295425,0.09675116697213268,0.09630756337151958,-0.0004436036006131049,15.0,0.7685294917275106,27838.666666666668,0.05725836403400017,0.0035269225089982134,0.04827995511392753,0.967086527744929
