example,dataset,budget,n,transductive_coverage,transductive_set_size,split_coverage,split_set_size,split_set_size_sd,split_set_size_sem,set_size_bias,set_size_bias_in_sems,coverage_excess_over_nominal
worked_example,mammographic,frac:1,961,0.9001040582726326,1.1883454734651404,0.8999916839916842,1.1889511434511435,0.03352557074673118,0.000749654551741693,-0.0006056699860030879,-0.8079321129924685,0.00010405827263260115
worked_example,mammographic,frac:0.25,961,0.918834547346514,1.4599375650364204,0.9150426195426197,1.4476642411642413,0.048709841524355466,0.001089185168217008,0.012273323872179054,11.26835383947657,0.01883454734651402
worked_example,mammographic,k:1,961,0.918834547346514,1.4599375650364204,0.9150426195426197,1.4476642411642413,0.048709841524355466,0.001089185168217008,0.012273323872179054,11.26835383947657,0.01883454734651402
secondary_example,diabetes130,frac:1,101763,0.9000029480262964,1.0393070172852608,0.9000066526473016,1.0394387897488306,0.004155055064017422,9.290985573397695e-05,-0.00013177246356987915,-1.4182829424165193,2.9480262964121096e-06
secondary_example,diabetes130,frac:0.25,101763,0.9000029480262964,1.0381867672926308,0.9000546853504185,1.0389452655162927,0.00441882444317481,9.880791835576531e-05,-0.0007584982236619187,-7.676492292155058,2.9480262964121096e-06
secondary_example,diabetes130,k:1,101763,0.9060562286882266,1.1527470691705237,0.9060564050155261,1.1527581856059117,0.0011374512585784562,2.5434183352741187e-05,-1.1116435387981127e-05,-0.43706673156396214,0.006056228688226528
