classifier,calibrate,bin_type,bins,mean_penalty,std,frac_positive,n,n_datasets
gb,isotonic,equal_freq,5,0.0035688224811798387,0.018327371187285557,0.5583333333333333,1080,12
gb,isotonic,equal_freq,10,0.002171356338667944,0.018791802832654452,0.5212962962962963,1080,12
gb,isotonic,equal_freq,15,0.002239805856800289,0.020366562995917676,0.5342592592592592,1080,12
gb,isotonic,equal_freq,20,0.0013479764454090658,0.021286035848583636,0.5287037037037037,1080,12
gb,isotonic,equal_freq,30,-0.0008666919138433555,0.023488390451660422,0.5259259259259259,1080,12
gb,isotonic,equal_freq,50,-0.004559624664374121,0.028080978502515116,0.4824074074074074,1080,12
gb,isotonic,equal_width,5,0.00432832032918519,0.018554779478515103,0.5472222222222223,1080,12
gb,isotonic,equal_width,10,0.0010645775248034042,0.020234447519187005,0.5074074074074074,1080,12
gb,isotonic,equal_width,15,0.0002826419315444014,0.021332640609582457,0.5203703703703704,1080,12
gb,isotonic,equal_width,20,-0.0009041652727245349,0.021736821592700226,0.512962962962963,1080,12
gb,isotonic,equal_width,30,-0.0027444187642921567,0.023695583814398034,0.48148148148148145,1080,12
gb,isotonic,equal_width,50,-0.005345784739918836,0.025251058886678036,0.46111111111111114,1080,12
gb,none,equal_freq,5,-0.013368420557013082,0.02893974044027536,0.35648148148148145,1080,12
gb,none,equal_freq,10,-0.012971290047254417,0.02557412514952376,0.31666666666666665,1080,12
gb,none,equal_freq,15,-0.011363221652063068,0.024547699581314055,0.3296296296296296,1080,12
gb,none,equal_freq,20,-0.010202477047428486,0.024337467456791877,0.36944444444444446,1080,12
gb,none,equal_freq,30,-0.007659980666234033,0.024453023058328218,0.4351851851851852,1080,12
gb,none,equal_freq,50,-0.006578381202476642,0.026622363294844232,0.47962962962962963,1080,12
gb,none,equal_width,5,-0.021554300736258285,0.03045237853505305,0.22314814814814815,1080,12
gb,none,equal_width,10,-0.01886090062100741,0.028887371235028974,0.2351851851851852,1080,12
gb,none,equal_width,15,-0.017492332668211576,0.027921649544237995,0.25925925925925924,1080,12
gb,none,equal_width,20,-0.016983789361945174,0.028986495068808047,0.2972222222222222,1080,12
gb,none,equal_width,30,-0.015760335218981774,0.028521469462161077,0.325,1080,12
gb,none,equal_width,50,-0.013647239376358651,0.027793671829958174,0.34814814814814815,1080,12
gb,sigmoid,equal_freq,5,-0.0026635590278798957,0.018677051455667514,0.4166666666666667,1080,12
gb,sigmoid,equal_freq,10,0.0004969158593333242,0.0196193171557487,0.4759259259259259,1080,12
gb,sigmoid,equal_freq,15,0.001553507031036834,0.019655699193339305,0.5175925925925926,1080,12
gb,sigmoid,equal_freq,20,0.0017512035963688278,0.01919257493699527,0.5185185185185185,1080,12
gb,sigmoid,equal_freq,30,0.00048661183560877956,0.019730763390137615,0.5083333333333333,1080,12
gb,sigmoid,equal_freq,50,-0.0009346986281721673,0.02150655126768084,0.5092592592592593,1080,12
gb,sigmoid,equal_width,5,-0.0064025332231833505,0.01989643449150858,0.3685185185185185,1080,12
gb,sigmoid,equal_width,10,-0.003954080619658339,0.021776095676750682,0.45185185185185184,1080,12
gb,sigmoid,equal_width,15,-0.003095944257344973,0.02235566376059691,0.4638888888888889,1080,12
gb,sigmoid,equal_width,20,-0.003039635139249674,0.022923875768848422,0.4648148148148148,1080,12
gb,sigmoid,equal_width,30,-0.0028363355517830057,0.0234732076012836,0.4666666666666667,1080,12
gb,sigmoid,equal_width,50,-0.003131045234136473,0.02313402476943932,0.44537037037037036,1080,12
