method,budget_type,budget,frac,k_features,n_features,classifier,calibrate,seed,accuracy,auroc,brier,ece,aurc,auroc_gap,ece_gap,net_benefit,net_benefit_gap,conformal_efficiency,conformal_coverage,conformal_coverage_gap,selective_ece,dataset,rep,runtime_s,calib_sha256
l1_logistic,frac,frac:1,1.0,19993,19993,gb,none,1970097841,0.6631016042780749,0.7390607101947307,0.2470058599836427,0.202262189385658,0.1841269794099961,,,0.3423662362737703,,1.53475935828877,0.9037433155080212,,0.2194705887926344,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:1,,1,19993,gb,none,1970097841,0.5080213903743316,0.5428980526918671,0.2852773732853085,0.1920439342906162,0.4211842132524715,,,0.2754023022299739,,1.7593582887700534,0.9037433155080212,,0.2300505991679593,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:2,,2,19993,gb,none,1970097841,0.5561497326203209,0.581615120274914,0.2961767624183071,0.2157829413566221,0.3747289729903871,,,0.2606842256668951,,1.732620320855615,0.9037433155080212,,0.2533244778966006,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:4,,4,19993,gb,none,1970097841,0.6256684491978609,0.6699885452462772,0.2788406305214988,0.2365032942898742,0.2817174174946185,,,0.2847001515669692,,1.6737967914438503,0.9037433155080212,,0.2386136404028185,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:8,,8,19993,gb,none,1970097841,0.6951871657754011,0.7714776632302406,0.2306846028872905,0.2049863652397989,0.1766986932273827,,,0.3363117359001203,,1.497326203208556,0.9037433155080212,,0.2086909955403541,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:16,,16,19993,gb,none,1970097841,0.6951871657754011,0.7483390607101947,0.2377639087010915,0.1957343420196253,0.208601674261637,,,0.3416489645161059,,1.5294117647058822,0.9037433155080212,,0.2105648299464539,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:32,,32,19993,gb,none,1970097841,0.6470588235294118,0.7303550973654067,0.2525660752964457,0.2166858795914156,0.2307152074797359,,,0.3233380464563182,,1.5080213903743316,0.9037433155080212,,0.2290958375182876,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:64,,64,19993,gb,none,1970097841,0.6631016042780749,0.7428407789232532,0.2422860896771813,0.2202498667028627,0.208567847186878,,,0.3414766312321166,,1.5133689839572193,0.9037433155080212,,0.2081865306328377,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:128,,128,19993,gb,none,1970097841,0.6684491978609626,0.7534936998854525,0.2373987182983497,0.1995564790221184,0.1990507374390586,,,0.3397925161528879,,1.4866310160427807,0.9037433155080212,,0.2070962557363165,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:256,,256,19993,gb,none,1970097841,0.6524064171122995,0.7691867124856816,0.2280928865729284,0.1889363276614849,0.185470268812313,,,0.34312091905905,,1.4385026737967914,0.9037433155080212,,0.1958033079144936,smk_can_187,0,61.239,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,frac,frac:1,1.0,19993,19993,gb,none,2693698452,0.6631016042780749,0.747651775486827,0.2336546355097874,0.2155983527734353,0.1878647301293843,,,0.350756327489181,,1.497326203208556,0.9037433155080212,,0.218441568882742,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:1,,1,19993,gb,none,2693698452,0.5668449197860963,0.6347651775486827,0.2521238136532541,0.1746002589846904,0.3131057613829845,,,0.287189059200034,,1.6203208556149733,0.9037433155080212,,0.1725996998999833,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:2,,2,19993,gb,none,2693698452,0.6256684491978609,0.656815578465063,0.259702841810813,0.17086598932123,0.3237490459518095,,,0.2877203918736131,,1.6737967914438503,0.9037433155080212,,0.1806067210963156,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:4,,4,19993,gb,none,2693698452,0.6684491978609626,0.7235967926689576,0.2416272626384425,0.1727210123584302,0.2431332913445616,,,0.3283798748320423,,1.6149732620320856,0.9037433155080212,,0.1809018180028123,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:8,,8,19993,gb,none,2693698452,0.6951871657754011,0.7652920962199312,0.224834220073928,0.1945898543454383,0.2144521142350444,,,0.345844807912074,,1.4919786096256684,0.9037433155080212,,0.1762285435140378,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
l1_logistic,k,k:16,,16,19993,gb,none,2693698452,0.6631016042780749,0.7164948453608246,0.270185300174584,0.2539919772256082,0.2426463489259846,,,0.2979596965745451,,1.5561497326203209,0.9037433155080212,,0.2628915759589694,smk_can_187,1,63.294,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
