k,auroc_penalty,sd
1,0.17598680582071188,0.05018879626286053
2,0.13738089177378984,0.04837864891625647
4,0.0924914089347079,0.04541487291582064
8,0.05338148572398287,0.04394464472906869
16,0.02849327563531458,0.04308115290699367
32,0.015951380934198806,0.04306789479916679
64,0.008417546985702767,0.041567748616399745
128,0.0040967714564507296,0.035978141239461636
256,-0.0019203682491196804,0.026603682025537007
