dataset,block,n,p,n_over_p,prevalence,retained_k_aggr,harm_auroc,harm_aurc
arrhythmia,highdim,452,279,1.6200716845878136,0.4579646017699115,1.0,0.2775262268084904,0.25504006482680563
prostate_ge,highdim,102,5966,0.01709688233322159,0.5098039215686274,1.0,0.043101851851851794,0.027847810877781883
