# STATUS: validated  (REPS=30)
# calibration_sha256: eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
# calib_sha256: eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
# calibration (ECE/Brier) and subgroup gaps vs full-feature baseline; Holm-corrected within (dataset,method,classifier,outcome); 5000-bootstrap paired-diff CI
dataset,method,classifier,calibrate,budget,budget_type,frac,outcome,mean,ci_lo,ci_hi,n,delta,cohens_d,diff_ci_lo,diff_ci_hi,p_raw,p_holm,material,material_worse,material_better,k_features,n_features,calib_sha256
gli85,l1_logistic,gb,none,k:4,k,,auroc,0.8447522816166882,0.834819643633203,0.854291883963494,30,-0.06619947848761405,-1.3074025403247942,-0.08267139287266406,-0.0466098978704911,5.973502993583679e-06,4.1814520955085754e-05,True,True,False,4,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:64,k,,auroc,0.9160799652325076,0.9073000869187308,0.9245116253802695,30,0.005128205128205136,0.11898982456346117,-0.008454476314645786,0.022599413298565837,0.9017798262237819,1.0,False,False,False,64,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:8,k,,auroc,0.8833116036505867,0.8707407105606257,0.894534984789222,30,-0.02764015645371575,-0.5509679602580356,-0.04491552585832245,-0.008484897870491068,0.0011117710498882425,0.006670626299329455,True,True,False,8,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,frac:1,frac,1.0,brier,0.10793529212499955,0.1003411528434403,0.11630966898519979,30,,,,,,,False,False,False,22283,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:1,k,,brier,0.19963132550006152,0.190014649270016,0.20950673226593952,30,0.09169603337506191,2.8097766573545035,0.08016198059751002,0.10303787184326912,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,1,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:128,k,,brier,0.1146913191381515,0.10783759414153703,0.12152225807583744,30,0.0067560270131519365,0.23554907236584896,-0.0041309258582323104,0.01584558875611248,0.034536734223365784,0.06907346844673157,False,False,False,128,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:16,k,,brier,0.12059596687082073,0.1133642424316884,0.12796042587020362,30,0.012660674745821181,0.4878187108290195,0.0028293599530260422,0.02110615096616273,0.001718590036034584,0.00859295018017292,True,True,False,16,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:2,k,,brier,0.17838782644627965,0.17024716840026002,0.18643715020153676,30,0.0704525343212801,2.186549994636291,0.058653248504430405,0.08093350624265558,3.725290298461914e-09,2.9802322387695312e-08,True,True,False,2,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:256,k,,brier,0.11766707665367114,0.11063955281618196,0.12509512709954757,30,0.009731784528671582,0.3532372912700306,-0.0005669436017769109,0.018434987887713448,0.007612137123942375,0.0304485484957695,False,False,False,256,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:32,k,,brier,0.11748031835125104,0.11053591607541091,0.12410074415320069,30,0.0095450262262515,0.33729442633901596,-0.0014840539442711176,0.018559371791537233,0.017453668639063835,0.052361005917191505,False,False,False,32,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:4,k,,brier,0.16112628456932124,0.1544145677756619,0.16834635570654324,30,0.05319099244432167,2.0306356725811843,0.04345676222054254,0.06185110240187179,1.30385160446167e-08,9.12696123123169e-08,True,True,False,4,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:64,k,,brier,0.11352564430766997,0.10720694386631968,0.11984240513230876,30,0.005590352182670392,0.1942911426722591,-0.005435994638136578,0.014709516268768992,0.054921628907322884,0.06907346844673157,False,False,False,64,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:8,k,,brier,0.13565347079724724,0.128390198804543,0.14292631696283012,30,0.027718178672247632,1.0588216264041677,0.0181475461547971,0.03664500380307572,7.994472980499268e-06,4.7966837882995605e-05,True,True,False,8,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,frac:1,frac,1.0,ece,0.11538583408292569,0.1071979885895664,0.12454247950829181,30,,,,,,,False,False,False,22283,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:1,k,,ece,0.1606515842751328,0.14689871057536893,0.174642199477239,30,0.045265750192207084,1.080508944717129,0.030741606122061765,0.060103313756403716,1.6838312149047852e-06,1.3470649719238281e-05,True,True,False,1,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:128,k,,ece,0.12273770721169217,0.1154966103699445,0.12999473454199217,30,0.007351873128766467,0.22212167219666984,-0.0044742959839366185,0.018467079454864883,0.140283040702343,0.2883047182112932,False,False,False,128,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:16,k,,ece,0.12314027736052482,0.11590879728193265,0.1309141655412259,30,0.0077544432775991335,0.3053699799094376,-0.0013795862808102222,0.01636773335657564,0.05768792890012264,0.23075171560049057,False,False,False,16,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:2,k,,ece,0.16393560606035085,0.15348843855797895,0.17309137096046334,30,0.048549771977425174,1.295065130836451,0.034413384982937105,0.06079191990352072,2.7623027563095093e-06,1.9336119294166565e-05,True,True,False,2,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:256,k,,ece,0.12775932084252,0.11996934009814816,0.13592785431973695,30,0.012373486759594324,0.40072680390017,0.0010346892104369067,0.022552760147275943,0.015460003167390823,0.07730001583695412,False,False,False,256,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:32,k,,ece,0.1214572956162428,0.1135265943522763,0.1293567620717341,30,0.0060714615333171,0.20003162618709888,-0.005478478704922966,0.016048315452259005,0.09610157273709774,0.2883047182112932,False,False,False,32,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:4,k,,ece,0.1670497923592492,0.16036590534110806,0.17382508475129074,30,0.05166395827632348,1.7410995091855224,0.04071654419227955,0.06155765837756363,4.6566128730773926e-08,4.1909515857696533e-07,True,True,False,4,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:64,k,,ece,0.1227364835278805,0.11589841897511359,0.13001000443602945,30,0.007350649444954764,0.214764753405017,-0.005412339264783185,0.018300158824014492,0.13473508320748806,0.2883047182112932,False,False,False,64,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:8,k,,ece,0.14264021524588583,0.13528685985531205,0.15049214211330425,30,0.02725438116296013,0.9739547974505004,0.016911573177269552,0.036550829895252705,3.904104232788086e-05,0.00023424625396728516,True,True,False,8,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,frac:1,frac,1.0,aurc,0.050428622437719624,0.041519780216795324,0.06166759180260334,30,,,,,,,False,False,False,22283,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:1,k,,aurc,0.17675591590476847,0.15786594544075636,0.19496454779981556,30,0.1263272934670489,1.95493890050154,0.10295013503128755,0.14764535750447308,2.60770320892334e-08,2.3469328880310059e-07,True,True,False,1,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:128,k,,aurc,0.0487730996806821,0.041102371275635825,0.05725827850750805,30,-0.0016555227570375225,-0.050846777219100796,-0.01403078778399071,0.008884503045559574,0.5978077705949545,1.0,False,False,False,128,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:16,k,,aurc,0.05080589888587122,0.04466904590279533,0.05717974271631838,30,0.00037727644815160427,0.012843065787888476,-0.011093899580903928,0.009908031651949999,0.338741784915328,1.0,False,False,False,16,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:2,k,,aurc,0.12639459720741078,0.11300804293223154,0.1405800319682762,30,0.07596597476969118,1.4249152206473674,0.056638804076093605,0.09384595223598707,9.98377799987793e-07,7.987022399902344e-06,True,True,False,2,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:256,k,,aurc,0.05137045256580559,0.0430008986277415,0.06039762272153882,30,0.0009418301280859766,0.028401068016661746,-0.011676317429148797,0.011707063664197413,0.2710056286305189,1.0,False,False,False,256,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:32,k,,aurc,0.04795827118008045,0.04177514976920666,0.05422040838114668,30,-0.002470351257639162,-0.0772671609752966,-0.015138431804469984,0.007836759000523533,0.5425279382616282,1.0,False,False,False,32,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:4,k,,aurc,0.09524647399193069,0.08729695523801292,0.10327952812526307,30,0.044817851554211065,1.0882602144001174,0.02906583673140223,0.05825702282842778,3.453157842159271e-05,0.000241721048951149,True,True,False,4,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:64,k,,aurc,0.04626606460566913,0.03984331314572513,0.053388826275935615,30,-0.004162557832050505,-0.13849095004380538,-0.016182100053273536,0.005639405460189368,0.935398668050766,1.0,False,False,False,64,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:8,k,,aurc,0.06636970361348571,0.058333393189455726,0.075701090600804,30,0.015941081175766095,0.44965021245374465,0.00259245249300551,0.028049343640610836,0.0006665531545877457,0.003999318927526474,True,True,False,8,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,frac:1,frac,1.0,net_benefit,0.6233535645984495,0.6177417239049198,0.6287083817687501,30,,,,,,,False,False,False,22283,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:1,k,,net_benefit,0.5410204848349486,0.5334596577004311,0.5481752778213503,30,-0.08233307976350096,-3.6480824379836245,-0.09047052865854747,-0.07443230553943565,1.862645149230957e-09,1.6763806343078613e-08,True,True,False,1,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:128,k,,net_benefit,0.6141120657878621,0.607930945963165,0.6203276820407322,30,-0.009241498810587516,-0.3890954692330245,-0.017037970923555554,-0.0005811114952760989,0.023410143330693245,0.04682028666138649,True,True,False,128,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
gli85,l1_logistic,gb,none,k:16,k,,net_benefit,0.6075183396157577,0.6013251724806891,0.6134530270591333,30,-0.01583522498269186,-0.8385546232556234,-0.022236910280572175,-0.009026827166868588,5.5925920605659485e-05,0.0002796296030282974,True,True,False,16,22283,eea1cc34fd9d82b0c6d7267dcc1cac30b2234f9f9020f48754a66d120f25f54e
