dataset,method,classifier,rep,aurc_A_full,aurc_B_full,aurc_C_full,selnb_A_full,selnb_C_full,aurc_A_aggr,aurc_B_aggr,aurc_C_aggr,selnb_A_aggr,selnb_C_aggr
cleveland,mutual_info,logistic,0,0.08608947598323635,0.10981606840139779,0.08302290540048218,0.3991581631465102,0.37787561570277733,0.13905943601396478,0.13523543000038096,0.11043103064652876,0.34310705070709296,0.3184145223726223
cleveland,mutual_info,logistic,1,0.07716640370091436,0.11398887454983854,0.08715169352405634,0.39536573592275914,0.34958495362769104,0.10815714330365556,0.14101159295990592,0.10310266413304829,0.3459220594283778,0.3231403252002779
cleveland,mutual_info,logistic,2,0.07385398760741643,0.10923256477490119,0.08119287552394222,0.3940693359877865,0.3630589317965408,0.11907109091903006,0.1475457882773742,0.11168072278554302,0.33336757001789746,0.32388301395817964
cleveland,mutual_info,logistic,3,0.07696864403691342,0.12113651613275084,0.08873706463131195,0.3843488786859516,0.3571471296573588,0.13242409703970992,0.12935712793035584,0.10342556865276956,0.35517527210155764,0.315167133167597
cleveland,mutual_info,logistic,4,0.06945687530286825,0.11070065443141167,0.07806414305723791,0.37871089318511597,0.3774491962014269,0.12580885861376898,0.13758852549601447,0.10463489386105877,0.34297327405492967,0.31649159354595735
cleveland,mutual_info,logistic,5,0.07461958289745695,0.1086169930969934,0.07952023428015584,0.38719020643695423,0.3745307227887628,0.13233712853051627,0.13402846775229546,0.12101075084320147,0.3483705146726089,0.3287218382800572
cleveland,mutual_info,logistic,6,0.07880502891071994,0.11939650854170564,0.08701020355458197,0.38999749894715124,0.3797378495693392,0.13692823242007118,0.13172432150224928,0.11511420362235196,0.3392576142859188,0.3248506218227658
cleveland,mutual_info,logistic,7,0.07772612452960789,0.11576224460731202,0.08264601388263766,0.3885310267402949,0.3863160791323575,0.09901285053525788,0.12299972922812083,0.09006619009858424,0.3627470391686372,0.332084510066475
cleveland,mutual_info,logistic,8,0.08547398965383107,0.1195002298197593,0.08815712808927093,0.3938390541529491,0.35758815135722527,0.15065941797079513,0.13440708120154876,0.11230964169384354,0.34826437358689144,0.28213604022890787
cleveland,mutual_info,logistic,9,0.07817405252058102,0.11869443728248437,0.08604763655743089,0.3938464950013573,0.3662195749020077,0.13777069748326548,0.12142197480511421,0.11071544078600531,0.32418132410397577,0.3116566882075884
cleveland,mutual_info,logistic,10,0.0811085701225739,0.11333954429115504,0.0837030835090517,0.36857877196852545,0.3673841893812724,0.1387630664250085,0.12732925990252614,0.11072231787684589,0.3476473478046018,0.30783277703049156
cleveland,mutual_info,logistic,11,0.08630593646975494,0.11551764746123826,0.08559070278476548,0.39767879349719243,0.37743637024573573,0.15277966464902878,0.1415453448493795,0.11491160741907919,0.3326532344813537,0.3104756530690129
cleveland,mutual_info,logistic,12,0.0802815280603953,0.10731697803588672,0.08468545278531578,0.3852504592809127,0.3728745058614738,0.1440484200844442,0.12275247955856311,0.10821482711845073,0.3547337871956927,0.3135881112438144
cleveland,mutual_info,logistic,13,0.07571637634170197,0.11308290916834642,0.08252552871623825,0.3803133618875633,0.36660864137223875,0.1263070885640344,0.14238805715726757,0.10517843981611116,0.33244375984818725,0.3309709369851927
cleveland,mutual_info,logistic,14,0.0778722954441106,0.1090821088486553,0.0842220954345625,0.3844697316853828,0.37149289380046524,0.14167189589741533,0.13281146491750315,0.11451386477425396,0.3456331410005533,0.3001128783982406
cleveland,mutual_info,logistic,15,0.08316753678577885,0.1151378881145408,0.08439716378376887,0.37000670076114,0.36855925771236486,0.11892215176259258,0.12679149048871943,0.09459273925007819,0.33089206431819196,0.3061705835375448
cleveland,mutual_info,logistic,16,0.07444863585872212,0.10431332408712464,0.0823288393551121,0.39212255644177824,0.38782407015934384,0.11033555484801796,0.12927311104579975,0.09630180483550017,0.3375328994529921,0.31623498390282884
cleveland,mutual_info,logistic,17,0.0874339991105537,0.11738399243210862,0.08708853918771288,0.3886583567274297,0.37337281529835703,0.1450664357644564,0.13892126030666802,0.11326283515293786,0.33397057754114357,0.32322703961478594
cleveland,mutual_info,logistic,18,0.0723593159975163,0.11607689473757171,0.08061940086456024,0.39368601303090517,0.3945556947358344,0.130674097463522,0.1250319875289658,0.10462797676178379,0.36618967909824063,0.3175158916241325
cleveland,mutual_info,logistic,19,0.0985681081159463,0.11927195587439968,0.09059716241421478,0.3819709552066845,0.35616855396041003,0.1312018155517497,0.1224302861614425,0.09948320241620641,0.3299224347983587,0.322748567635405
cleveland,mutual_info,logistic,20,0.07206393583434914,0.1101172688714313,0.07806370825151232,0.39203855536449495,0.3861066025903365,0.13189418076838805,0.13393294443209672,0.1059897406383051,0.3561630561034042,0.32018487741256824
cleveland,mutual_info,logistic,21,0.07658610715142261,0.11004606745632814,0.08786007151839136,0.3854165086815237,0.3647156371725285,0.08814717547910719,0.1182882431810133,0.08796036007221698,0.33788432258560763,0.34826892949075183
cleveland,mutual_info,logistic,22,0.07889272835269535,0.11452658206011382,0.08241231267831187,0.38893871519040024,0.36328920558479777,0.12222041070780215,0.11978046723244111,0.09345576721291862,0.3745314268987017,0.31490585889574185
cleveland,mutual_info,logistic,23,0.08022810066148389,0.11953493062454576,0.08400438190528717,0.38858925753817786,0.38094778725826245,0.1287571356910927,0.14359186900192844,0.10382982197139234,0.3407167211438134,0.31656303512861494
cleveland,mutual_info,logistic,24,0.07909853613652831,0.11422603537858779,0.08450970252178977,0.388326510916928,0.36894731093788763,0.13306142769860313,0.13271874324179583,0.10782784158882167,0.3404914014301184,0.2969262215016008
cleveland,mutual_info,logistic,25,0.07331017075681098,0.1178740558430846,0.07933664079132363,0.39127631857745343,0.3845493549038177,0.12749419153149846,0.1403636834976709,0.10945770623173331,0.3470374393992886,0.3285264461901784
cleveland,mutual_info,logistic,26,0.08093776094842109,0.11339409180350529,0.08646731134533132,0.3868575448652837,0.3669580178290751,0.12492161617813147,0.13278869893177983,0.11456133658481435,0.3235253071948182,0.3113162221896703
cleveland,mutual_info,logistic,27,0.07930033395934721,0.11366844646074419,0.08208037606883532,0.39475004045950673,0.38272043539875783,0.12894724543412478,0.13560319572200302,0.10765456768779741,0.3419535129749757,0.3215481229825833
cleveland,mutual_info,logistic,28,0.07955396841113903,0.11656802159436151,0.08413032476148326,0.37193277110860995,0.3605342245352296,0.10576253206769964,0.13460918757798246,0.1043922286679985,0.3579500351365223,0.3411480810473441
cleveland,mutual_info,logistic,29,0.07701489128583842,0.11683874881380182,0.08028274261450313,0.3705241265491365,0.37262237899212425,0.13745057918794215,0.12732120463825072,0.10627604078458161,0.3377710250557227,0.31585304981501683
cleveland,mutual_info,rf,0,0.07156194926317101,0.125618757721896,0.08618264020889921,0.3750106441567878,0.3685297804421731,0.11255884019492463,0.11698875490214666,0.09661709726753524,0.37087746112984,0.3441736978996996
cleveland,mutual_info,rf,1,0.07290760058061108,0.12076990197318753,0.08760024634583805,0.3780774095400667,0.36317722099123156,0.13910227072857867,0.12096963148738402,0.10717926493814826,0.35926155587390635,0.33192823331089516
cleveland,mutual_info,rf,2,0.08075269486152108,0.13016943271783946,0.0993841604525624,0.3823016184425318,0.37183042385353093,0.11469793235724261,0.11598244751598531,0.10536920097780111,0.38045720343885925,0.3443048298048174
cleveland,mutual_info,rf,3,0.08104015258292602,0.1213367072315962,0.09136912438150548,0.3908535724691531,0.37836535047558273,0.18962481472548648,0.1736227788078272,0.1648056887768312,0.32538238043290535,0.2881467018298549
cleveland,mutual_info,rf,4,0.06929801471572762,0.1128867876017545,0.08107057330147535,0.39184547319332586,0.38593492907674676,0.1402777805575346,0.12791115792039434,0.12260862677417937,0.33700705947069853,0.30735572269872
cleveland,mutual_info,rf,5,0.07745177763396349,0.12617971115207477,0.09220803619477502,0.3777489975887039,0.3639307275813504,0.15890310170299454,0.16063850983511774,0.1451337944443423,0.34626111143215665,0.31000509958919736
cleveland,mutual_info,rf,6,0.0759847948511658,0.12812586160334793,0.0925102495437602,0.3610183071877398,0.3604091698092733,0.14136076816892376,0.1428176335339431,0.11765124625537077,0.34430119842695495,0.31073036701565826
