dataset,method,classifier,rep,aurc_A_full,aurc_B_full,aurc_C_full,selnb_A_full,selnb_C_full,aurc_A_aggr,aurc_B_aggr,aurc_C_aggr,selnb_A_aggr,selnb_C_aggr
cleveland,mutual_info,logistic,0,0.0860894759832363,0.1098160684013977,0.0830229054004821,0.3991581631465102,0.3778756157027773,0.1390594360139647,0.1352354300003809,0.1104310306465287,0.3431070507070929,0.3184145223726223
cleveland,mutual_info,logistic,1,0.0771664037009143,0.1139888745498385,0.0871516935240563,0.3953657359227591,0.349584953627691,0.1081571433036555,0.1410115929599059,0.1031026641330482,0.3459220594283778,0.3231403252002779
cleveland,mutual_info,logistic,2,0.0738539876074164,0.1092325647749011,0.0811928755239422,0.3940693359877865,0.3630589317965408,0.11907109091903,0.1475457882773742,0.111680722785543,0.3333675700178974,0.3238830139581796
cleveland,mutual_info,logistic,3,0.0769686440369134,0.1211365161327508,0.0887370646313119,0.3843488786859516,0.3571471296573588,0.1324240970397099,0.1293571279303558,0.1034255686527695,0.3551752721015576,0.315167133167597
cleveland,mutual_info,logistic,4,0.0694568753028682,0.1107006544314116,0.0780641430572379,0.3787108931851159,0.3774491962014269,0.1258088586137689,0.1375885254960144,0.1046348938610587,0.3429732740549296,0.3164915935459573
cleveland,mutual_info,logistic,5,0.0746195828974569,0.1086169930969934,0.0795202342801558,0.3871902064369542,0.3745307227887628,0.1323371285305162,0.1340284677522954,0.1210107508432014,0.3483705146726089,0.3287218382800572
cleveland,mutual_info,logistic,6,0.0788050289107199,0.1193965085417056,0.0870102035545819,0.3899974989471512,0.3797378495693392,0.1369282324200711,0.1317243215022492,0.1151142036223519,0.3392576142859188,0.3248506218227658
cleveland,mutual_info,logistic,7,0.0777261245296078,0.115762244607312,0.0826460138826376,0.3885310267402949,0.3863160791323575,0.0990128505352578,0.1229997292281208,0.0900661900985842,0.3627470391686372,0.332084510066475
cleveland,mutual_info,logistic,8,0.085473989653831,0.1195002298197593,0.0881571280892709,0.3938390541529491,0.3575881513572252,0.1506594179707951,0.1344070812015487,0.1123096416938435,0.3482643735868914,0.2821360402289078
cleveland,mutual_info,logistic,9,0.078174052520581,0.1186944372824843,0.0860476365574308,0.3938464950013573,0.3662195749020077,0.1377706974832654,0.1214219748051142,0.1107154407860053,0.3241813241039757,0.3116566882075884
cleveland,mutual_info,logistic,10,0.0811085701225739,0.113339544291155,0.0837030835090517,0.3685787719685254,0.3673841893812724,0.1387630664250085,0.1273292599025261,0.1107223178768458,0.3476473478046018,0.3078327770304915
cleveland,mutual_info,logistic,11,0.0863059364697549,0.1155176474612382,0.0855907027847654,0.3976787934971924,0.3774363702457357,0.1527796646490287,0.1415453448493795,0.1149116074190791,0.3326532344813537,0.3104756530690129
cleveland,mutual_info,logistic,12,0.0802815280603953,0.1073169780358867,0.0846854527853157,0.3852504592809127,0.3728745058614738,0.1440484200844442,0.1227524795585631,0.1082148271184507,0.3547337871956927,0.3135881112438144
cleveland,mutual_info,logistic,13,0.0757163763417019,0.1130829091683464,0.0825255287162382,0.3803133618875633,0.3666086413722387,0.1263070885640344,0.1423880571572675,0.1051784398161111,0.3324437598481872,0.3309709369851927
cleveland,mutual_info,logistic,14,0.0778722954441106,0.1090821088486553,0.0842220954345625,0.3844697316853828,0.3714928938004652,0.1416718958974153,0.1328114649175031,0.1145138647742539,0.3456331410005533,0.3001128783982406
cleveland,mutual_info,logistic,15,0.0831675367857788,0.1151378881145408,0.0843971637837688,0.37000670076114,0.3685592577123648,0.1189221517625925,0.1267914904887194,0.0945927392500781,0.3308920643181919,0.3061705835375448
cleveland,mutual_info,logistic,16,0.0744486358587221,0.1043133240871246,0.0823288393551121,0.3921225564417782,0.3878240701593438,0.1103355548480179,0.1292731110457997,0.0963018048355001,0.3375328994529921,0.3162349839028288
cleveland,mutual_info,logistic,17,0.0874339991105537,0.1173839924321086,0.0870885391877128,0.3886583567274297,0.373372815298357,0.1450664357644564,0.138921260306668,0.1132628351529378,0.3339705775411435,0.3232270396147859
cleveland,mutual_info,logistic,18,0.0723593159975163,0.1160768947375717,0.0806194008645602,0.3936860130309051,0.3945556947358344,0.130674097463522,0.1250319875289658,0.1046279767617837,0.3661896790982406,0.3175158916241325
cleveland,mutual_info,logistic,19,0.0985681081159463,0.1192719558743996,0.0905971624142147,0.3819709552066845,0.35616855396041,0.1312018155517497,0.1224302861614425,0.0994832024162064,0.3299224347983587,0.322748567635405
cleveland,mutual_info,logistic,20,0.0720639358343491,0.1101172688714313,0.0780637082515123,0.3920385553644949,0.3861066025903365,0.131894180768388,0.1339329444320967,0.1059897406383051,0.3561630561034042,0.3201848774125682
cleveland,mutual_info,logistic,21,0.0765861071514226,0.1100460674563281,0.0878600715183913,0.3854165086815237,0.3647156371725285,0.0881471754791071,0.1182882431810133,0.0879603600722169,0.3378843225856076,0.3482689294907518
cleveland,mutual_info,logistic,22,0.0788927283526953,0.1145265820601138,0.0824123126783118,0.3889387151904002,0.3632892055847977,0.1222204107078021,0.1197804672324411,0.0934557672129186,0.3745314268987017,0.3149058588957418
cleveland,mutual_info,logistic,23,0.0802281006614838,0.1195349306245457,0.0840043819052871,0.3885892575381778,0.3809477872582624,0.1287571356910927,0.1435918690019284,0.1038298219713923,0.3407167211438134,0.3165630351286149
cleveland,mutual_info,logistic,24,0.0790985361365283,0.1142260353785877,0.0845097025217897,0.388326510916928,0.3689473109378876,0.1330614276986031,0.1327187432417958,0.1078278415888216,0.3404914014301184,0.2969262215016008
cleveland,mutual_info,logistic,25,0.0733101707568109,0.1178740558430846,0.0793366407913236,0.3912763185774534,0.3845493549038177,0.1274941915314984,0.1403636834976709,0.1094577062317333,0.3470374393992886,0.3285264461901784
cleveland,mutual_info,logistic,26,0.080937760948421,0.1133940918035052,0.0864673113453313,0.3868575448652837,0.3669580178290751,0.1249216161781314,0.1327886989317798,0.1145613365848143,0.3235253071948182,0.3113162221896703
cleveland,mutual_info,logistic,27,0.0793003339593472,0.1136684464607441,0.0820803760688353,0.3947500404595067,0.3827204353987578,0.1289472454341247,0.135603195722003,0.1076545676877974,0.3419535129749757,0.3215481229825833
cleveland,mutual_info,logistic,28,0.079553968411139,0.1165680215943615,0.0841303247614832,0.3719327711086099,0.3605342245352296,0.1057625320676996,0.1346091875779824,0.1043922286679985,0.3579500351365223,0.3411480810473441
cleveland,mutual_info,logistic,29,0.0770148912858384,0.1168387488138018,0.0802827426145031,0.3705241265491365,0.3726223789921242,0.1374505791879421,0.1273212046382507,0.1062760407845816,0.3377710250557227,0.3158530498150168
cleveland,mutual_info,rf,0,0.071561949263171,0.125618757721896,0.0861826402088992,0.3750106441567878,0.3685297804421731,0.1125588401949246,0.1169887549021466,0.0966170972675352,0.37087746112984,0.3441736978996996
cleveland,mutual_info,rf,1,0.072907600580611,0.1207699019731875,0.087600246345838,0.3780774095400667,0.3631772209912315,0.1391022707285786,0.120969631487384,0.1071792649381482,0.3592615558739063,0.3319282333108951
cleveland,mutual_info,rf,2,0.080752694861521,0.1301694327178394,0.0993841604525624,0.3823016184425318,0.3718304238535309,0.1146979323572426,0.1159824475159853,0.1053692009778011,0.3804572034388592,0.3443048298048174
cleveland,mutual_info,rf,3,0.081040152582926,0.1213367072315962,0.0913691243815054,0.3908535724691531,0.3783653504755827,0.1896248147254864,0.1736227788078272,0.1648056887768312,0.3253823804329053,0.2881467018298549
cleveland,mutual_info,rf,4,0.0692980147157276,0.1128867876017545,0.0810705733014753,0.3918454731933258,0.3859349290767467,0.1402777805575346,0.1279111579203943,0.1226086267741793,0.3370070594706985,0.30735572269872
cleveland,mutual_info,rf,5,0.0774517776339634,0.1261797111520747,0.092208036194775,0.3777489975887039,0.3639307275813504,0.1589031017029945,0.1606385098351177,0.1451337944443423,0.3462611114321566,0.3100050995891973
cleveland,mutual_info,rf,6,0.0759847948511658,0.1281258616033479,0.0925102495437602,0.3610183071877398,0.3604091698092733,0.1413607681689237,0.1428176335339431,0.1176512462553707,0.3443011984269549,0.3107303670156582
cleveland,mutual_info,rf,7,0.0870669429390353,0.1353468980209136,0.1016523641659387,0.387799798431341,0.3555013545185098,0.1692961154074061,0.1647627175440872,0.1547469143453275,0.3373043358287246,0.2879322688344055
cleveland,mutual_info,rf,8,0.0782056725072485,0.1287515160439479,0.0923102627776198,0.3514711884829716,0.3603946053298335,0.1313062956906983,0.1250272048383554,0.1088710566374545,0.3390442366770032,0.3155633275962442
cleveland,mutual_info,rf,9,0.0801046503547942,0.1165953708956866,0.091874524573667,0.3731310940581194,0.3529058681305317,0.1401825704132808,0.1553741945068465,0.129999141695939,0.3418830501455994,0.2944599465791467
cleveland,mutual_info,rf,10,0.082271435634201,0.1242044505575026,0.0928398704445701,0.3604854146047386,0.3497280652594661,0.1534078475223483,0.1301062963680034,0.1213299854018873,0.352358009938642,0.3246955011825919
cleveland,mutual_info,rf,11,0.0729301184841424,0.1291276990857808,0.0898852525794477,0.366056939594467,0.376181789274545,0.1297991021153196,0.1421184875179939,0.1180861980347819,0.3187324803467506,0.3050614674639758
cleveland,mutual_info,rf,12,0.0818013591582218,0.1225265565986915,0.0970129857851279,0.3631378546089953,0.371751175309833,0.1609367279757764,0.1364252402346228,0.1321550394092607,0.3578153018392164,0.3343376689570498
cleveland,mutual_info,rf,13,0.0781169863889953,0.1193706017263574,0.0901551054005414,0.3641598266594927,0.3624392181200029,0.1360434592313363,0.1134906847725574,0.1160855551846633,0.3662464594488861,0.3158562389961869
cleveland,mutual_info,rf,14,0.0927176932147292,0.1295045081985141,0.0983594973010824,0.3680150143822925,0.3736559194879281,0.1624076045728196,0.1487428187722936,0.1379003142983932,0.31247655471691,0.2862595671802408
cleveland,mutual_info,rf,15,0.074995513185488,0.1146882555110092,0.0864251705123816,0.3908216781771323,0.3844560380917145,0.1069993506211858,0.1023885057828662,0.0890468597847851,0.3803051096101613,0.3397279028455221
cleveland,mutual_info,rf,16,0.0715356274877361,0.1202671221711677,0.0839801631739128,0.3580177077902678,0.3829346431725886,0.140286763516795,0.1367727437006209,0.1330569580421396,0.322281472349905,0.2954114841528931
cleveland,mutual_info,rf,17,0.0748235263154548,0.133292643954345,0.0970879086734863,0.3767685464242779,0.366398980094575,0.109479227773459,0.1101907142376202,0.1044458992025226,0.3968428131277546,0.3436169532430207
cleveland,mutual_info,rf,18,0.0730530952020783,0.1126349460067927,0.0806775344802291,0.3834412229110176,0.3718522897470009,0.1213509068158319,0.1390090518348002,0.1088066055900564,0.3549148252865248,0.3119689737774562
cleveland,mutual_info,rf,19,0.0748615204909893,0.1132845027592168,0.0855364300523735,0.3693504765786684,0.3569377505349799,0.1420381504207341,0.1496435680761155,0.1330186811617112,0.3511626981573952,0.3061613350955791
cleveland,mutual_info,rf,20,0.0864771658521749,0.1245152717146538,0.0946077470224818,0.38070216583493,0.3677959304317271,0.1480495205502994,0.1590219832292881,0.128167917885197,0.3115532145379326,0.2730739628248295
cleveland,mutual_info,rf,21,0.1084889708191434,0.1216377996424801,0.1008181618700036,0.3591283745158328,0.3418873438374432,0.1709642682272211,0.1389579705065323,0.1336903611054858,0.3222059402926009,0.2998373861619429
cleveland,mutual_info,rf,22,0.0801591712155098,0.128598299619661,0.0895003742327077,0.3854863646995592,0.3448016456365042,0.1595494930110277,0.1479812444245531,0.1483370894795046,0.3651574761402206,0.3167977191885841
cleveland,mutual_info,rf,23,0.0779443075510094,0.1230822704713873,0.0888221208312182,0.3763792173092439,0.379432615155422,0.1385776149120532,0.1812732368092092,0.144267786496751,0.3262152747296075,0.2995716856592384
cleveland,mutual_info,rf,24,0.0830989626999305,0.1232773734115995,0.0958473249139257,0.3850946422263789,0.3582735999047508,0.1311182020921892,0.1349917538596983,0.1291099361764754,0.3664603012310294,0.3157033666288182
