kept_features,method,classifier,rep,auroc_full,auroc_red,auroc_penalty
100,mutual_info,logistic,0,0.8815949675324675,0.8350243506493507,0.04657061688311681
100,mutual_info,logistic,1,0.8985389610389609,0.8633319805194806,0.035206980519480346
100,mutual_info,logistic,2,0.885146103896104,0.8140219155844155,0.07112418831168854
100,mutual_info,logistic,3,0.8977272727272726,0.8323863636363636,0.06534090909090895
100,mutual_info,logistic,4,0.9148741883116883,0.848823051948052,0.06605113636363635
100,mutual_info,logistic,5,0.8826095779220781,0.8632305194805195,0.019379058441558517
100,mutual_info,logistic,6,0.8683035714285714,0.7848011363636364,0.08350243506493504
100,mutual_info,logistic,7,0.8832183441558442,0.8275162337662338,0.05570211038961037
100,mutual_info,logistic,8,0.888088474025974,0.8184862012987013,0.06960227272727271
100,mutual_info,logistic,9,0.9312094155844156,0.8558238636363636,0.07538555194805197
100,mutual_info,logistic,10,0.8860592532467533,0.8652597402597402,0.020799512987013102
100,mutual_info,logistic,11,0.877435064935065,0.8310673701298701,0.04636769480519487
100,mutual_info,logistic,12,0.9092938311688312,0.8329951298701299,0.07629870129870131
100,mutual_info,logistic,13,0.9083806818181819,0.8356331168831168,0.07274756493506507
100,mutual_info,logistic,14,0.8717532467532467,0.8485186688311689,0.023234577922077837
100,mutual_info,logistic,15,0.8771306818181819,0.8232548701298702,0.05387581168831168
100,mutual_info,logistic,16,0.8739853896103895,0.801643668831169,0.07234172077922052
100,mutual_info,logistic,17,0.9132508116883118,0.8312702922077921,0.08198051948051965
100,mutual_info,logistic,18,0.8807832792207793,0.8093547077922079,0.0714285714285714
100,mutual_info,logistic,19,0.9165990259740259,0.8715503246753247,0.0450487012987012
100,mutual_info,logistic,20,0.9093952922077922,0.8267045454545454,0.08269074675324684
100,mutual_info,logistic,21,0.9282670454545454,0.8634334415584416,0.06483360389610382
100,mutual_info,logistic,22,0.8674918831168831,0.8059050324675325,0.061586850649350544
100,mutual_info,logistic,23,0.8818993506493505,0.8128043831168832,0.06909496753246736
100,mutual_info,logistic,24,0.9183238636363636,0.8052962662337662,0.11302759740259749
100,mutual_info,logistic,25,0.8923498376623377,0.8302556818181819,0.062094155844155785
100,mutual_info,logistic,26,0.8833198051948051,0.8052962662337662,0.07802353896103897
100,mutual_info,logistic,27,0.8730722402597403,0.7932224025974026,0.07984983766233766
100,mutual_info,logistic,28,0.9191355519480519,0.8469967532467533,0.07213879870129858
100,mutual_info,logistic,29,0.8788555194805195,0.7929180194805194,0.08593750000000011
100,mutual_info,rf,0,0.9079241071428571,0.8935166396103896,0.014407467532467466
100,mutual_info,rf,1,0.8999594155844155,0.8733258928571429,0.026633522727272596
100,mutual_info,rf,2,0.8766741071428571,0.846185064935065,0.03048904220779214
100,mutual_info,rf,3,0.9189833603896105,0.9028510551948051,0.016132305194805352
100,mutual_info,rf,4,0.8857548701298701,0.8700791396103897,0.015675730519480346
100,mutual_info,rf,5,0.897169237012987,0.8880377435064934,0.00913149350649356
100,mutual_info,rf,6,0.8831676136363636,0.8934151785714284,-0.010247564935064735
100,mutual_info,rf,7,0.8984882305194805,0.8737317370129871,0.024756493506493338
100,mutual_info,rf,8,0.90625,0.880377435064935,0.025872564935064957
100,mutual_info,rf,9,0.8958502435064936,0.8784496753246753,0.017400568181818232
100,mutual_info,rf,10,0.8947849025974026,0.8813413149350648,0.013443587662337775
100,mutual_info,rf,11,0.9170556006493507,0.8901684253246753,0.026887175324675328
100,mutual_info,rf,12,0.8905742694805194,0.8656148538961038,0.024959415584415612
100,mutual_info,rf,13,0.8888494318181819,0.8469460227272727,0.04190340909090917
100,mutual_info,rf,14,0.9063007305194806,0.891994724025974,0.014306006493506551
100,mutual_info,rf,15,0.9199472402597402,0.8779423701298701,0.04200487012987009
100,mutual_info,rf,16,0.8937195616883117,0.8538453733766235,0.03987418831168821
100,mutual_info,rf,17,0.884283685064935,0.8700284090909091,0.014255275974025983
100,mutual_info,rf,18,0.9061992694805194,0.8747463474025974,0.03145292207792205
100,mutual_info,rf,19,0.8741883116883118,0.8718547077922078,0.0023336038961040417
100,mutual_info,rf,20,0.906351461038961,0.8770799512987013,0.029271509740259716
100,mutual_info,rf,21,0.8860592532467533,0.8639914772727273,0.022067775974025983
100,mutual_info,rf,22,0.9033583603896103,0.8855012175324678,0.01785714285714246
100,mutual_info,rf,23,0.9150771103896104,0.8786018668831168,0.03647524350649356
100,mutual_info,rf,24,0.899908685064935,0.8843851461038962,0.015523538961038863
100,mutual_info,rf,25,0.9268465909090908,0.9121854707792209,0.014661120129869976
100,mutual_info,rf,26,0.9315645292207793,0.9018871753246753,0.02967735389610393
100,mutual_info,rf,27,0.8869724025974025,0.8748478084415585,0.012124594155843993
100,mutual_info,rf,28,0.9161931818181818,0.8864650974025974,0.029728084415584388
100,mutual_info,rf,29,0.9156858766233766,0.8993506493506493,0.016335227272727293
100,rf_importance,logistic,0,0.8821022727272727,0.8457792207792209,0.036323051948051854
100,rf_importance,logistic,1,0.8635349025974026,0.8375608766233767,0.02597402597402587
100,rf_importance,logistic,2,0.9103084415584416,0.8824066558441558,0.02790178571428581
100,rf_importance,logistic,3,0.9222808441558442,0.8686079545454546,0.05367288961038963
100,rf_importance,logistic,4,0.8815949675324676,0.8658685064935064,0.015726461038961137
100,rf_importance,logistic,5,0.8675933441558441,0.8413149350649352,0.02627840909090895
100,rf_importance,logistic,6,0.8855519480519481,0.8475040584415584,0.03804788961038974
100,rf_importance,logistic,7,0.9014813311688312,0.8614042207792207,0.04007711038961048
100,rf_importance,logistic,8,0.877435064935065,0.8338068181818183,0.04362824675324661
100,rf_importance,logistic,9,0.8991477272727273,0.8617086038961039,0.03743912337662336
100,rf_importance,logistic,10,0.9026988636363636,0.8424310064935064,0.060267857142857206
100,rf_importance,logistic,11,0.880377435064935,0.866984577922078,0.013392857142857095
100,rf_importance,logistic,12,0.8875811688311688,0.867288961038961,0.02029220779220775
100,rf_importance,logistic,13,0.8842329545454545,0.8501420454545454,0.03409090909090906
100,rf_importance,logistic,14,0.8989448051948052,0.836140422077922,0.06280438311688319
100,rf_importance,logistic,15,0.9053368506493507,0.866984577922078,0.03835227272727271
100,rf_importance,logistic,16,0.8720576298701299,0.8318790584415585,0.0401785714285714
100,rf_importance,logistic,17,0.911627435064935,0.8909293831168831,0.020698051948051965
100,rf_importance,logistic,18,0.8838271103896104,0.8399959415584416,0.043831168831168776
100,rf_importance,logistic,19,0.8810876623376624,0.8278206168831169,0.053267045454545525
100,rf_importance,logistic,20,0.9056412337662337,0.8555194805194806,0.050121753246753165
100,rf_importance,logistic,21,0.919237012987013,0.8734780844155844,0.0457589285714286
