method,frac,k_features,n_features,classifier,calibrate,seed,accuracy,auroc,brier,ece,aurc,auroc_gap,ece_gap,net_benefit,net_benefit_gap,conformal_efficiency,conformal_coverage,conformal_coverage_gap,selective_ece,dataset,rep,calib_sha256
mutual_info,1.0,12,12,logistic,none,1081204513,0.834983498349835,0.8876995964204247,0.12839600468722995,0.08644666667205705,0.08608947598323635,0.01735062293414691,0.029292974335414695,0.3417789343740638,0.28040452119852977,1.2112211221122111,0.900990099009901,0.03948553698328494,0.06319800957179664,cleveland,0,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.75,9,12,logistic,none,1081204513,0.8382838283828383,0.8859887699596422,0.12799081933532164,0.07547049598038576,0.08779427867303709,0.0032545130943301137,0.0002289381312320926,0.3422447645838636,0.27825613471407623,1.1947194719471947,0.900990099009901,0.03948553698328494,0.053056796125590076,cleveland,0,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.5,6,12,logistic,none,1081204513,0.834983498349835,0.8874583260221092,0.12659943772818183,0.06476785898345283,0.08990819106120151,0.011382532418001579,0.032073021172735236,0.34438350377179017,0.2716663143700234,1.1584158415841583,0.900990099009901,0.03948553698328494,0.051921898691776304,cleveland,0,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.33,4,12,logistic,none,1081204513,0.8217821782178217,0.8719950868573433,0.13761724692115132,0.06791842237867945,0.11393758448392562,0.01286104754640216,0.01754482787081517,0.33684012322026635,0.2803011353132046,1.2277227722772277,0.900990099009901,0.02432188970073057,0.055256015761498294,cleveland,0,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.25,3,12,logistic,none,1081204513,0.7953795379537953,0.8454114756974908,0.1538712747420635,0.054739697771078615,0.13905943601396478,0.047895372489193844,0.04961530027522208,0.32259407049106675,0.3164478228760521,1.3201320132013201,0.900990099009901,0.02432188970073057,0.04887602677277683,cleveland,0,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,1.0,12,12,logistic,none,4251949139,0.8283828382838284,0.8877873311107212,0.1309724669105923,0.062195340384901814,0.07716640370091436,0.032035341978133625,0.01609752600518974,0.3410747344926585,0.26413620115821523,1.2112211221122111,0.900990099009901,0.03948553698328494,0.05694799755064245,cleveland,1,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.75,9,12,logistic,none,4251949139,0.834983498349835,0.8904632391647657,0.12588413435753892,0.06713308576298319,0.07635923791738658,0.013362573099415243,0.007829458550867238,0.34524969401226674,0.26895400867294406,1.2013201320132014,0.900990099009901,0.02432188970073057,0.046739894877266985,cleveland,1,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.5,6,12,logistic,none,4251949139,0.8283828382838284,0.8892568871731882,0.12820469486800756,0.0544706671175985,0.0843743921528352,0.00499618611746766,0.03493581736711725,0.3433941421401433,0.27730961200970694,1.1782178217821782,0.900990099009901,0.00915824241817631,0.031996714561659756,cleveland,1,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.33,4,12,logistic,none,4251949139,0.8151815181518152,0.8814265660642218,0.13583084955029923,0.04894396579458557,0.09155475068988393,0.062290872107805484,0.047223168650456546,0.34297310597329733,0.26692371390057923,1.2178217821782178,0.900990099009901,0.06981283154839346,0.02364020387451639,cleveland,1,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
mutual_info,0.25,3,12,logistic,none,4251949139,0.7854785478547854,0.8597122302158273,0.14667866641790586,0.061275411155504465,0.10815714330365556,0.04832570556826843,0.05702168985954727,0.33109146098264697,0.2785577417225174,1.2904290429042904,0.900990099009901,0.06981283154839346,0.04282881489497897,cleveland,1,19f9a06a8f411f2cb0bfc83a470b8abe9be3e8d2481b8d5686994f21903b99e1
