kept_features,k_aggr,auroc_full,auroc_red,auroc_penalty_mean,auroc_penalty_sd,ci_lo,ci_hi,n
100,25,0.898,0.8731,0.025,0.0217,0.0219,0.0282,180
256,25,0.901,0.8657,0.0353,0.0195,0.0325,0.0382,180
1000,25,0.9099,0.8502,0.0597,0.0321,0.055,0.0643,180
5000,25,0.9128,0.8362,0.0766,0.0496,0.0694,0.0838,180
10000,25,0.9115,0.8207,0.0909,0.0607,0.0825,0.0995,180
