kept_features,method,classifier,rep,auroc_full,auroc_red,auroc_penalty
100,l1_logistic,logistic,0,0.8980316558441559,0.9028003246753247,-0.004768668831168776
100,l1_logistic,logistic,1,0.9019886363636364,0.8914366883116883,0.010551948051948035
100,l1_logistic,logistic,2,0.885450487012987,0.8785511363636364,0.006899350649350655
100,l1_logistic,logistic,3,0.853997564935065,0.8449675324675324,0.009030032467532534
100,l1_logistic,logistic,4,0.9121347402597403,0.9050324675324675,0.007102272727272818
100,l1_logistic,logistic,5,0.8526785714285714,0.8511566558441558,0.0015219155844156118
100,l1_logistic,logistic,6,0.8999594155844157,0.8969155844155845,0.0030438311688312236
100,l1_logistic,logistic,7,0.8715503246753247,0.8590706168831169,0.01247970779220775
100,l1_logistic,logistic,8,0.9026988636363636,0.8850446428571428,0.017654220779220853
100,l1_logistic,logistic,9,0.9122362012987013,0.888088474025974,0.024147727272727293
100,l1_logistic,logistic,10,0.9247159090909092,0.9266436688311688,-0.0019277597402596047
100,l1_logistic,logistic,11,0.9138595779220781,0.9006696428571428,0.013189935064935265
100,l1_logistic,logistic,12,0.885551948051948,0.8745941558441559,0.010957792207792139
100,l1_logistic,logistic,13,0.8861607142857142,0.880073051948052,0.006087662337662225
100,l1_logistic,logistic,14,0.9179180194805195,0.9103084415584415,0.007609577922078059
100,l1_logistic,logistic,15,0.8976258116883117,0.8894074675324675,0.008218344155844215
100,l1_logistic,logistic,16,0.8997564935064934,0.8889001623376622,0.010856331168831224
100,l1_logistic,logistic,17,0.8825081168831169,0.8554180194805195,0.02709009740259738
100,l1_logistic,logistic,18,0.8999594155844156,0.8871753246753247,0.01278409090909094
100,l1_logistic,logistic,19,0.869724025974026,0.8544034090909092,0.015320616883116811
100,l1_logistic,logistic,20,0.8961038961038962,0.8850446428571428,0.011059253246753387
100,l1_logistic,logistic,21,0.9121347402597403,0.8973214285714286,0.014813311688311681
100,l1_logistic,logistic,22,0.8889001623376623,0.8676948051948051,0.021205357142857206
100,l1_logistic,logistic,23,0.8894074675324676,0.8550121753246754,0.03439529220779214
100,l1_logistic,logistic,24,0.8917410714285714,0.8923498376623377,-0.0006087662337662669
100,l1_logistic,logistic,25,0.8979301948051948,0.8933644480519481,0.004565746753246613
100,l1_logistic,logistic,26,0.9066558441558442,0.8979301948051949,0.008725649350649345
100,l1_logistic,logistic,27,0.8770292207792207,0.8754058441558442,0.0016233766233765268
100,l1_logistic,logistic,28,0.8771306818181819,0.869825487012987,0.00730519480519487
100,l1_logistic,logistic,29,0.8885957792207791,0.8685064935064936,0.020089285714285587
100,l1_logistic,rf,0,0.8913352272727272,0.8841314935064934,0.007203733766233733
100,l1_logistic,rf,1,0.9133522727272727,0.9117796266233766,0.0015726461038960693
100,l1_logistic,rf,2,0.9085328733766234,0.894734172077922,0.01379870129870131
100,l1_logistic,rf,3,0.8937195616883117,0.8993506493506493,-0.005631087662337664
100,l1_logistic,rf,4,0.8976258116883118,0.8964590097402597,0.0011668019480520764
100,l1_logistic,rf,5,0.9106128246753247,0.9008725649350648,0.009740259740259827
100,l1_logistic,rf,6,0.909953327922078,0.9101055194805194,-0.00015219155844148347
100,l1_logistic,rf,7,0.8800730519480521,0.8656655844155845,0.014407467532467577
100,l1_logistic,rf,8,0.9069602272727273,0.9168019480519481,-0.009841720779220853
100,l1_logistic,rf,9,0.8994521103896105,0.8980823863636364,0.0013697240259741283
100,l1_logistic,rf,10,0.9171063311688312,0.9018364448051948,0.015269886363636465
100,l1_logistic,rf,11,0.8921469155844156,0.8934659090909092,-0.0013189935064935598
100,l1_logistic,rf,12,0.9227374188311688,0.8947849025974026,0.027952516233766156
100,l1_logistic,rf,13,0.9003145292207791,0.879007711038961,0.02130681818181812
100,l1_logistic,rf,14,0.8914366883116883,0.8799715909090909,0.01146509740259738
100,l1_logistic,rf,15,0.916700487012987,0.9048295454545455,0.011870941558441483
100,l1_logistic,rf,16,0.9150771103896104,0.9143161525974026,0.0007609577922077504
100,l1_logistic,rf,17,0.9030539772727273,0.9016842532467533,0.0013697240259740173
100,l1_logistic,rf,18,0.8953936688311689,0.8775872564935064,0.017806412337662447
100,l1_logistic,rf,19,0.9018364448051948,0.8704849837662337,0.031351461038961026
100,l1_logistic,rf,20,0.903612012987013,0.8963575487012988,0.0072544642857141906
100,l1_logistic,rf,21,0.8821530032467533,0.8796672077922078,0.002485795454545525
100,l1_logistic,rf,22,0.9117288961038961,0.9036627435064936,0.00806615259740251
100,l1_logistic,rf,23,0.8927556818181819,0.8420251623376623,0.05073051948051954
100,l1_logistic,rf,24,0.9081777597402597,0.8930600649350648,0.01511769480519487
100,l1_logistic,rf,25,0.9040178571428572,0.8991477272727273,0.004870129870129913
100,l1_logistic,rf,26,0.8834212662337663,0.865919237012987,0.01750202922077926
100,l1_logistic,rf,27,0.9091416396103896,0.893161525974026,0.015980113636363646
100,l1_logistic,rf,28,0.9142654220779222,0.8902191558441559,0.024046266233766267
100,l1_logistic,rf,29,0.9039163961038961,0.8934659090909092,0.010450487012986898
100,mutual_info,logistic,0,0.8634334415584415,0.8031655844155844,0.060267857142857095
100,mutual_info,logistic,1,0.8912337662337663,0.8595779220779222,0.031655844155844104
100,mutual_info,logistic,2,0.8894074675324676,0.8162540584415585,0.07315340909090906
100,mutual_info,logistic,3,0.9003652597402599,0.8523741883116883,0.04799107142857162
100,mutual_info,logistic,4,0.9085836038961039,0.8442573051948054,0.06432629870129858
100,mutual_info,logistic,5,0.8693181818181818,0.825385551948052,0.0439326298701298
100,mutual_info,logistic,6,0.8799715909090907,0.8237621753246754,0.05620941558441528
100,mutual_info,logistic,7,0.8876826298701299,0.8270089285714286,0.06067370129870131
100,mutual_info,logistic,8,0.8988433441558441,0.8588676948051946,0.039975649350649456
100,mutual_info,logistic,9,0.916801948051948,0.8553165584415584,0.06148538961038963
100,mutual_info,logistic,10,0.9067573051948052,0.859577922077922,0.04717938311688319
100,mutual_info,logistic,11,0.8632305194805194,0.8377637987012987,0.02546672077922074
100,mutual_info,logistic,12,0.8631290584415584,0.8286323051948052,0.034496753246753165
100,mutual_info,logistic,13,0.9123376623376623,0.7988027597402598,0.11353490259740251
100,mutual_info,logistic,14,0.8934659090909091,0.8580560064935066,0.03540990259740251
100,mutual_info,logistic,15,0.8938717532467533,0.8356331168831168,0.058238636363636465
100,mutual_info,logistic,16,0.8621144480519481,0.8547077922077922,0.007406655844155896
100,mutual_info,logistic,17,0.9134537337662336,0.8572443181818181,0.0562094155844155
100,mutual_info,logistic,18,0.8794642857142857,0.8497362012987013,0.029728084415584388
100,mutual_info,logistic,19,0.8898133116883117,0.846387987012987,0.04342532467532467
100,mutual_info,logistic,20,0.8915381493506493,0.820515422077922,0.07102272727272729
